Location,Pokemon,Time of Day,Encounter Method,Rarity,Additional Notes
,Bellsprout,Any,Grass,Common,
,Venonat,Any,Grass,Common,
,Oddish,N,Grass,Common,
,Caterpie,Any,Grass,Common,
,Metapod,Any,Grass,Common,
,Weedle,Any,Grass,Common,
,Kakuna,Any,Grass,Uncommon,
,Tentacool,Any,Surfing,Common,
,Slowpoke,Any,Surfing,Common,
,Psyduck,Any,Surfing,Common,
,Magikarp,Any,Fishing: Old Rod,Common,
,Magikarp,Any,Fishing: Good Rod,Common,
,Poliwag,Any,Fishing: Good Rod,Common,
,Goldeen,Any,Fishing: Good Rod,Common,
,Slowpoke,Any,Fishing: Super Rod,Common,"Horsea and Krabby appear on radar as well, but could not be observed spawning."
,Gyarados,Any,Fishing: Super Rod,Uncommon
,Psyduck,Any,Fishing: Super Rod,Common
,Poliwag,Any,Fishing: Super Rod,Common
,Poliwhirl,Any,Fishing: Super Rod,Common
Route 5,Pokémon,Time,Method,Rarity,Notes
,Pidgey,M/D/E,Grass,Common,
,Bellsprout,Any,Grass,Common,
,Meowth,Any,Grass,Common,
,Oddish,N,Grass,Common,
,Mankey,Any,Grass,Common,
Underground Tunnel (N-S),Pokémon,Time,Method,Rarity,Notes
Route 6,Pokémon,Time,Method,Rarity,Notes
,Pidgey,M/D/E,Grass,Common,
,Bellsprout,Any,Grass,Common,
,Meowth,Any,Grass,Common,
,Oddish,N,Grass,Common,
,Drowzee,N,Grass,Uncommon,
,Psyduck,Any,Surfing,Common,
,Slowpoke,Any,Surfing,Common,
,Magikarp,Any,Fishing: Old Rod,Common,
,Magikarp,Any,Fishing: Good Rod,Common,
,Slowpoke,Any,Fishing: Super Rod,Common,
,Gyarados,Any,Fishing: Super Rod,Uncommon,
,Krabby,Any,Fishing: Super Rod,Common,
,Psyduck,Any,Fishing: Super Rod,Common,
Vermilion City,Pokémon,Time,Method,Rarity,Notes
,Tentacool,Any,Surfing,Common,
,Magikarp,Any,Fishing: Old Rod,Common,
,Tentacool,Any,Fishing: Old Rod,Common,
,Magikarp,Any,Fishing: Good Rod,Common,
,Krabby,Any,Fishing: Good Rod,Common,
,Horsea,Any,Fishing: Good Rod,Common,
,Shellder,Any,Fishing: Good Rod,Uncommon,
,Krabby,Any,Fishing: Super Rod,Common,
,Horsea,Any,Fishing: Super Rod,Common,
,Shellder,Any,Fishing: Super Rod,Uncommon,
,Gyarados,Any,Fishing: Super Rod,Rare,
,Diglett,Any,Rock Smash,Common,
,Spearow,Any,Headbutt,Common,
Vermilion Backroad,Pokémon,Time,Method,Rarity,Notes
,Rattata,Any,Grass,?,
,Raticate,Any,Grass,?,
,Spearow,Any,Grass,?,
Vermilion Roller Hockey,Pokémon,Time,Method,Rarity,Notes
SS Anne,Pokémon,Time,Method,Rarity,Notes
Route 11,Pokémon,Time,Method,Rarity,Notes
,Drowzee,Any,Grass,Common,
,Rattata,Any,Grass,Common,
,Spearow,Any,Grass,Common,
,Ekans,Any,Grass,Common,
,Sandshrew,Any,Grass,Uncommon,
,Raticate,Any,Grass,Uncommon,
,Spearow,Any,Headbutt,Common,
Diglett’s Cave,Pokémon,Time,Method,Rarity,Notes
,Diglett,Any,Cave,Common,
,Dugtrio,Any,Cave,Uncommon,
Route 9,Pokémon,Time,Method,Rarity,Notes
,Rattata,Any,Grass,Common,
,Spearow,M/D/E,Grass,Common,
,Mankey,Any,Grass,Common,
,Ekans,Any,Grass,Common,
,Sandshrew,Any,Grass,Uncommon,
,Nidorino,Any,Grass,Uncommon,
,Nidorina,Any,Grass,Uncommon,
,Tentacool,Any,Surfing,Common,
,Magikarp,Any,Fishing: Old Rod,Common,
,Magikarp,Any,Fishing: Good Rod,Common,
,Krabby,Any,Fishing: Good Rod,Common,
,Horsea,Any,Fishing: Good Rod,Common,
,Krabby,Any,Fishing: Super Rod,Common,
,Gyarados,Any,Fishing: Super Rod,Uncommon,
,Horsea,Any,Fishing: Super Rod,Common,
,Psyduck,Any,Fishing: Super Rod,Common,
,Slowpoke,Any,Fishing: Super Rod,Common,
Route 10,Pokémon,Time,Method,Rarity,Notes
,Rattata,Any,Grass,Common,
,Spearow,M/D/E,Grass,Common,
,Mankey,Any,Grass,Common,
,Ekans,Any,Grass,Common,
,Sandshrew,Any,Grass,Uncommon,
,Nidorina,Any,Grass,Uncommon,
,Nidorino,Any,Grass,Uncommon,
,Voltorb,Any,Grass,Uncommon,
,Tentacool,Any,Surfing,Common,
,Magikarp,Any,Fishing: Old Rod,Common,
,Magikarp,Any,Fishing: Good Rod,Common,
,Krabby,Any,Fishing: Good Rod,Common,
,Horsea,Any,Fishing: Good Rod,Common,
,Krabby,Any,Fishing: Super Rod,Common,
,Gyarados,Any,Fishing: Super Rod,Uncommon,
,Horsea,Any,Fishing: Super Rod,Common,
,Psyduck,Any,Fishing: Super Rod,Common,
,Slowpoke,Any,Fishing: Super Rod,Common,
Power Plant,Pokémon,Time,Method,Rarity,Notes
Surf south from Route 9,Magnemite,Any,Floor,Common,
,Magneton,Any,Floor,Uncommon,
,Pikachu,Any,Floor,Uncommon,Best Pikachu spawn.
,Voltorb,Any,Floor,Common,
,Electabuzz,Any,Floor,Rare,
,Zapdos,Any,Unique,Guarantee,Level 50. Talk to Janitor Jimbo.
Rock Tunnel,Pokémon,Time,Method,Rarity,Notes
,Onix,Any,Cave,Common,
,Geodude,Any,Cave,Common,
,Zubat,Any,Cave,Common,
,Mankey,Any,Cave,Common,
,Machop,Any,Cave,Uncommon,
,Geodude,Any,Rock Smash,?,
,Graveler,Any,Rock Smash,?,
Lavender Town,Pokémon,Time,Method,Rarity,Notes
Pokémon Tower,Pokémon,Time,Method,Rarity,Notes
,Gastly,Any,Floor,Common,
,Haunter,Any,Floor,Uncommon,
Route 8,Pokémon,Time,Method,Rarity,Notes
,Meowth,Any,Grass,Common,
,Growlithe,Any,Grass,Uncommon,
,Vulpix,Any,Grass,Uncommon,
,Pidgey,Any,Grass,Common,
,Sandshrew,Any,Grass,Uncommon,
,Ekans,Any,Grass,Common,
Underground Path (W-E),Pokémon,Time,Method,Rarity,Notes
Route 7,Pokémon,Time,Method,Rarity,Notes
,Growlithe,Any,Grass,Uncommon,
,Vulpix,Any,Grass,Uncommon,
,Oddish,Any,Grass,Common,
,Bellsprout,Any,Grass,Common,
,Pidgey,Any,Grass,Common,
,Meowth,Any,Grass,Common,
,Spearow,Any,Headbutt,Common,
Celadon City,Pokémon,Time,Method,Rarity,Notes
"For Game Corner basement (Rocket Hideout), cf. below",Psyduck,Any,Surfing,Common,
Slowpoke,Any,Surfing,Common,
Koffing,Any,Surfing,Uncommon,
,Magikarp,Any,Fishing: Old Rod,Common,
,Magikarp,Any,Fishing: Good Rod,Common,
,Magikarp,Any,Fishing: Super Rod,Common,
,Grimer,Any,Fishing: Super Rod,Uncommon,
,Eevee,Any,Gift,Guarantee,Condominiums Back Door
,Spearow,Any,Headbutt,Common,
,Abra,Any,Trade,Guarantee,Game Corner (180 coins)
,Clefairy,Any,Trade,Guarantee,Game Corner (500 coins)
,Dratini,Any,Trade,Guarantee,Game Corner (2’800 coins)
,Pinsir,Any,Trade,Guarantee,Game Corner (5’000 coins)
,Scyther,Any,Trade,Guarantee,Game Corner (5’500 coins)
,Porygon,Any,Trade,Guarantee,Game Corner (9’999 coins)
Celadon Rocket Hideout,Pokémon,Time,Method,Rarity,Notes
Saffron City,Pokémon,Time,Method,Rarity,Notes
For Silph Co. cf. below,Hitmonlee,Any,Gift,Guarantee,Choose one
,Hitmonchan,Any,Gift,Guarantee
Silph Co.,Pokémon,Time,Method,Rarity,Notes
"Tip: When first entering the building, take the elevator to 5F, and get the Card Key at bottom left of the floor to immediately get access to all doors."
Route 12,Pokémon,Time,Method,Rarity,Notes
,Pidgey,Any,Grass,Common,
,Bellsprout,Any,Grass,Common,
,Weepinbell,Any,Grass,Uncommon,
,Oddish,Any,Grass,Common,
,Gloom,Any,Grass,Uncommon,
,Venonat,N,Grass,Common,
,Slowpoke,Any,Surfing,Common,
,Tentacool,Any,Surfing,Common,
,Magikarp,Any,Fishing: Old Rod,Common,
,Krabby,Any,Fishing: Old Rod,Uncommon,
,Magikarp,Any,Fishing: Good Rod,Common,
,Krabby,Any,Fishing: Good Rod,Common,
,Horsea,Any,Fishing: Good Rod,Common,
,Krabby,Any,Fishing: Super Rod,Common,
,Gyarados,Any,Fishing: Super Rod,Uncommon,
,Horsea,Any,Fishing: Super Rod,Common,
,Psyduck,Any,Fishing: Super Rod,Common,
,Slowpoke,Any,Fishing: Super Rod,Common,
,Tangela,Any,Headbutt,?,
,Nidorino,Any,Trade,Guarantee,Nidorina for Nidorino
,Snorlax,Any,Unique,One Chance,Level 35
Route 13,Pokémon,Time,Method,Rarity,Notes
,Nidorina,Any,Grass,Uncommon,
,Nidorino,Any,Grass,Uncommon,
,Oddish,Any,Grass,Common,
,Pidgey,Any,Grass,Common,
,Pidgeotto,M/D/E,Grass,Uncommon,
,Bellsprout,Any,Grass,Common,
,Weepinbell,Any,Grass,Uncommon,
,Ditto,Any,Grass,Rare,
,Gloom,Any,Grass,Uncommon,
,Venonat,Any,Grass,Common,
,Slowpoke,Any,Surfing,Common,
,Tentacool,Any,Surfing,Common,
,Magikarp,Any,Fishing: Old Rod,Common,
,Krabby,Any,Fishing: Old Rod,Uncommon,
,Magikarp,Any,Fishing: Good Rod,Common,
,Krabby,Any,Fishing: Good Rod,Common,
,Horsea,Any,Fishing: Good Rod,Common,
,Krabby,Any,Fishing: Super Rod,Common,
,Gyarados,Any,Fishing: Super Rod,Uncommon,
,Horsea,Any,Fishing: Super Rod,Common,
,Psyduck,Any,Fishing: Super Rod,Common,
,Slowpoke,Any,Fishing: Super Rod,Common,
,Tangela,?,Headbutt,?,Day confirmed
Route 14,Pokémon,Time,Method,Rarity,Notes
,Nidorina,Any,Grass,Uncommon,
,Nidorino,Any,Grass,Uncommon,
,Pidgeotto,M/D/E,Grass,Uncommon,
,Oddish,Any,Grass,Common,
,Gloom,Any,Grass,Uncommon,
,Bellsprout,Any,Grass,Common,
,Weepinbell,Any,Grass,Uncommon,
,Venonat,Any,Grass,Common,
,Venomoth,Any,Grass,Uncommon,
,Pidgey,Any,Grass,Common,
Route 15,Pokémon,Time,Method,Rarity,Notes
,Nidorina,Any,Grass,Uncommon,
,Nidorino,Any,Grass,Uncommon,
,Pidgeotto,M/D/E,Grass,Uncommon,
,Pidgey,Any,Grass,Common,
,Oddish,Any,Grass,Common,
,Gloom,Any,Grass,Uncommon,
,Bellsprout,Any,Grass,Common,
,Weepinbell,Any,Grass,Uncommon,
,Ditto,Any,Grass,Rare,
,Venonat,Any,Grass,Common,
,Tangela,Any,Headbutt,Common,
Route 16,Pokémon,Time,Method,Rarity,Notes
,Doduo,Any,Grass,Common,
,Spearow,Any,Grass,Common,
,Rattata,Any,Grass,Common,
,Raticate,Any,Grass,Uncommon,
,Spearow,Any,Headbutt,Common,
,Snorlax,Any,Unique,One Chance,Level 35
Route 17,Pokémon,Time,Method,Rarity,Notes
,Doduo,Any,Grass,Common,
,Spearow,Any,Grass,Common,
,Fearow,Any,Grass,Uncommon,
,Rattata,Any,Grass,Common,
,Raticate,Any,Grass,Uncommon,
Route 18,Pokémon,Time,Method,Rarity,Notes
,Grimer,M/D/E,Grass,Common,
,Fearow,M/D/E,Grass,Uncommon,
,Muk,Any,Grass,Uncommon,
,Rattata,Any,Grass,Common,
,Raticate,Any,Grass,Common,
,Doduo,Any,Grass,Common,
,Spearow,Any,Grass,Common,
,Tangela,Any,Headbutt,?,
,Lickitung,Any,Trade,Guarantee,Golduck for Lickitung – Gate
Fuchsia City,Pokémon,Time,Method,Rarity,Notes
,Magikarp,Any,Surfing,Common,
,Slowpoke,Any,Surfing,Common,
,Psyduck,Any,Surfing,Common,
,Goldeen,Any,Surfing,Common,
,Magikarp,Any,Fishing: Old Rod,Common,
,Magikarp,Any,Fishing: Good Rod,Common,
,Gyarados,Any,Fishing: Good Rod,Common,
,Poliwag,Any,Fishing: Good Rod,Common,
,Magikarp,Any,Fishing: Super Rod,Common,
,Gyarados,Any,Fishing: Super Rod,Common,
,Seaking,Any,Fishing: Super Rod,Uncommon,
,Psyduck,Any,Fishing: Super Rod,Common,
,Slowpoke,Any,Fishing: Super Rod,Common,
Kanto Safari Zone(Area near entrance),Pokémon,Time,Method,Rarity,Notes
,Nidorina,Any,Grass,Common,
,Nidorino,Any,Grass,Common,
,Parasect,Any,Grass,Uncommon,
,Venonat,Any,Grass,Common,
,Exeggcute,Any,Grass,Common,
,Rhyhorn,Any,Grass,Common,
,Chansey,Any,Grass,Rare,More common during night
,Scyther,Any,Grass,Rare,
,Pinsir,Any,Grass,Rare,
,Slowpoke,Any,Surfing,Common,
,Psyduck,Any,Surfing,Common,
,Magikarp,Any,Fishing: Old Rod,Common,
,Magikarp,Any,Fishing: Good Rod,Common,
,Poliwag,Any,Fishing: Good Rod,Common,
,Goldeen,Any,Fishing: Good Rod,Common,
,Goldeen,Any,Fishing: Super Rod,Common,
,Seaking,Any,Fishing: Super Rod,Uncommon,
,Slowpoke,Any,Fishing: Super Rod,Common,
,Psyduck,Any,Fishing: Super Rod,Common,
,Dratini,Any,Fishing: Super Rod,Uncommon,
,Dragonair,Any,Fishing: Super Rod,Rare,
Kanto Safari Zone – East,Pokémon,Time,Method,Rarity,Notes
,Nidorina,Any,Grass,Common,
,Nidorino,Any,Grass,Common,
,Paras,Any,Grass,Common,
,Parasect,Any,Grass,Uncommon,
,Doduo,Any,Grass,Common,
,Exeggcute,Any,Grass,Common,
,Kangaskhan,Any,Grass,Rare,
,Scyther,Any,Grass,Rare,
,Pinsir,Any,Grass,Rare,
,Slowpoke,Any,Surfing,Common,
,Psyduck,Any,Surfing,Common,
,Magikarp,Any,Fishing: Old Rod,Common,
,Magikarp,Any,Fishing: Good Rod,Common,
,Goldeen,Any,Fishing: Good Rod,Common,
,Krabby,Any,Fishing: Super Rod,Common,
,Seaking,Any,Fishing: Super Rod,Uncommon,
,Slowpoke,Any,Fishing: Super Rod,Common,
,Psyduck,Any,Fishing: Super Rod,Common,
,Dratini,Any,Fishing: Super Rod,Uncommon,
,Dragonair,Any,Fishing: Super Rod,Rare,
Kanto Safari Zone – North,Pokémon,Time,Method,Rarity,Notes
,Nidorina,Any,Grass,Common,
,Nidorino,Any,Grass,Common,
,Venomoth,Any,Grass,Uncommon,
,Exeggcute,Any,Grass,Common,
,Rhyhorn,Any,Grass,Common,
,Chansey,Any,Grass,Rare,More common during night
,Paras,Any,Grass,Common,
,Tauros,Any,Grass,Rare,
,Slowpoke,Any,Surfing,Common,
,Psyduck,Any,Surfing,Common,
,Magikarp,Any,Fishing: Old Rod,Common,
,Magikarp,Any,Fishing: Good Rod,Common,
,Poliwag,Any,Fishing: Good Rod,Common,
,Goldeen,Any,Fishing: Good Rod,Common,
,Goldeen,Any,Fishing: Super Rod,Common,
,Seaking,Any,Fishing: Super Rod,Uncommon,
,Slowpoke,Any,Fishing: Super Rod,Common,
,Psyduck,Any,Fishing: Super Rod,Common,
,Dratini,Any,Fishing: Super Rod,Uncommon,
,Dragonair,Any,Fishing: Super Rod,Rare,
Kanto Safari Zone – West,Pokémon,Time,Method,Rarity,Notes
,Nidorina,Any,Grass,Common,
,Nidorino,Any,Grass,Common,
,Venonat,Any,Grass,Common,
,Exeggcute,Any,Grass,Common,
,Venomoth,Any,Grass,Uncommon,
,Doduo,Any,Grass,Common,
,Kangaskhan,Any,Grass,Rare,
,Tauros,Any,Grass,Rare,
,Rhyhorn,Any,Grass,Common,
,Chansey,Any,Grass,Rare,More common during night
,Paras,Any,Grass,Common,
,Slowpoke,Any,Surfing,Common,
,Psyduck,Any,Surfing,Common,
,Magikarp,Any,Fishing: Old Rod,Common,
,Magikarp,Any,Fishing: Good Rod,Common,
,Poliwag,Any,Fishing: Good Rod,Common,
,Goldeen,Any,Fishing: Good Rod,Common,
,Goldeen,Any,Fishing: Super Rod,Common,
,Seaking,Any,Fishing: Super Rod,Uncommon,
,Slowpoke,Any,Fishing: Super Rod,Common,
,Psyduck,Any,Fishing: Super Rod,Common,
,Dratini,Any,Fishing: Super Rod,Uncommon,
,Dragonair,Any,Fishing: Super Rod,Rare,
Route 19,Pokémon,Time,Method,Rarity,Notes
,Tentacool,Any,Surfing,Common,
,Magikarp,Any,Fishing: Old Rod,Common,
,Krabby,Any,Fishing: Old Rod,Common,
,Magikarp,Any,Fishing: Good Rod,Common,
,Krabby,Any,Fishing: Good Rod,Common,
,Horsea,Any,Fishing: Good Rod,Common,
,Krabby,Any,Fishing: Super Rod,Common,
,Kingler,Any,Fishing: Super Rod,Uncommon,
,Horsea,Any,Fishing: Super Rod,Common,
,Seadra,Any,Fishing: Super Rod,Uncommon,
,Gyarados,Any,Fishing: Super Rod,Rare,
,Slowpoke,Any,Fishing: Super Rod,Common,
,Psyduck,Any,Fishing: Super Rod,Common,
,Staryu,N,Fishing: Super Rod,Rare,
,Krabby,Any,Rock Smash,Common,
,Kingler,Any,Rock Smash,?,
Route 20,Pokémon,Time,Method,Rarity,Notes
,Tentacool,Any,Surfing,Common,
,Magikarp,Any,Fishing: Old Rod,Common,
,Magikarp,Any,Fishing: Good Rod,Common,
,Krabby,Any,Fishing: Good Rod,Common,
,Krabby,Any,Fishing: Super Rod,Common,
,Kingler,Any,Fishing: Super Rod,Uncommon,
,Psyduck,Any,Fishing: Super Rod,Common,
,Horsea,Any,Fishing: Super Rod,Common,
,Seadra,Any,Fishing: Super Rod,Uncommon,
,Gyarados,Any,Fishing: Super Rod,Uncommon,
Seafoam Island 1F(Entrance/Exit),Pokémon,Time,Method,Rarity,Notes
,Zubat,Any,Cave,Common,
,Golbat,Any,Cave,Uncommon,
,Psyduck,Any,Cave,Common,
,Slowpoke,Any,Cave,Common,
Seafoam Island B1F,Pokémon,Time,Method,Rarity,Notes
,Seel,Any,Cave,Common,
,Slowpoke,Any,Cave,Common,
,Psyduck,Any,Cave,Common,
,Zubat,Any,Cave,Common,
,Golbat,Any,Cave,Uncommon,
,Golduck,Any,Cave,Uncommon,
,Slowbro,Any,Cave,Uncommon,
Seafoam Island B2F,Pokémon,Time,Method,Rarity,Notes
,Seel,Any,Cave,Common,
,Slowpoke,Any,Cave,Common,
,Psyduck,Any,Cave,Common,
,Zubat,Any,Cave,Common,
,Golbat,Any,Cave,Uncommon,
,Golduck,Any,Cave,Uncommon,
,Slowbro,Any,Cave,Uncommon,
Seafoam Island B3F,Pokémon,Time,Method,Rarity,Notes
,Seel,Any,Cave,Common,
,Slowpoke,Any,Cave,Common,
,Psyduck,Any,Cave,Common,
,Zubat,Any,Cave,Common,
,Golbat,Any,Cave,Uncommon,
,Golduck,Any,Cave,Uncommon,
,Slowbro,Any,Cave,Uncommon,
,Dewgong,Any,Cave,Uncommon,
Seafoam Island B4F,Pokémon,Time,Method,Rarity,Notes
,Seel,Any,Cave,Common,
,Slowpoke,Any,Cave,Common,
,Psyduck,Any,Cave,Common,
,Zubat,Any,Cave,Common,
,Golbat,Any,Cave,Uncommon,
,Golduck,Any,Cave,Uncommon,
,Slowbro,Any,Cave,Uncommon,
,Dewgong,Any,Cave,Uncommon,
,Horsea,Any,Surfing,Common,
,Krabby,Any,Surfing,Common,
,Magikarp,Any,Fishing: Old Rod,Common,
,Krabby,Any,Fishing: Old Rod,Uncommon,
,Magikarp,Any,Fishing: Good Rod,Common,
,Horsea,Any,Fishing: Good Rod,Common,
,Psyduck,Any,Fishing: Good Rod,Common,
,Krabby,Any,Fishing: Super Rod,Common,
,Seadra,Any,Fishing: Super Rod,Common,
,Slowpoke,Any,Fishing: Super Rod,Uncommon,
,Gyarados,Any,Fishing: Super Rod,Uncommon,
,Articuno,Any,Unique,One Chance,"Level 50, after Elite Four"
Cinnabar Island,Pokémon,Time,Method,Rarity,Notes
,Tangela,Any,Trade,Guarantee,Lab – Venonat for Tangela
,Seel,Any,Trade,Guarantee,Lab – Ponyta for Seel
,Electrode,Any,Trade,Guarantee,Lab – Raichu for Electrode
,Tentacool,Any,Surfing,Common,
,Magikarp,Any,Fishing: Old Rod,Common,
,Magikarp,Any,Fishing: Good Rod,Common,
,Horsea,Any,Fishing: Good Rod,Common,
,Goldeen,Any,Fishing: Good Rod,Common,
